Category,Message,Email,Subject,Body
ham,Having lunch:)you are not in online?why?,,,
ham,I know that my friend already told that.,,,
ham,Hi Princess! Thank you for the pics. You are very pretty. How are you?,,,
ham,"Aiyo... U always c our ex one... I dunno abt mei, she haven reply... First time u reply so fast... Y so lucky not workin huh, got bao by ur sugardad ah...gee..",,,
ham,Hi msg me:)i'm in office..,,,
ham,Thanx 4 e brownie it's v nice...,,,
ham,Geeeee ... I love you so much I can barely stand it,,,
spam,GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,,,
ham,"Fuck babe ... I miss you already, you know ? Can't you let me send you some money towards your net ? I need you ... I want you ... I crave you ...",,,
ham,"Ill call u 2mrw at ninish, with my address that icky American freek wont stop callin me 2 bad Jen k eh?",,,
ham,Oooh bed ridden ey? What are YOU thinking of?,,,
ham,"So anyways, you can just go to your gym or whatever, my love *smiles* I hope your ok and having a good day babe ... I miss you so much already",,,
ham,Love it! Daddy will make you scream with pleasure! I am going to slap your ass with my dick!,,,
ham,WOT U WANNA DO THEN MISSY?,,,
ham,Yar lor wait 4 my mum 2 finish sch then have lunch lor... I whole morning stay at home clean my room now my room quite clean... Hee...,,,
ham,Do you know where my lab goggles went,,,
ham,Can you open the door?,,,
ham,Waiting for your call.,,,
ham,Nope i waiting in sch 4 daddy...,,,
spam,"You have won ?1,000 cash or a ?2,000 prize! To claim, call09050000327",,,
ham,"I'm tired of arguing with you about this week after week. Do what you want and from now on, i'll do the same.",,,
ham,Ü wait 4 me in sch i finish ard 5..,,,
spam,"our mobile number has won £5000, to claim calls us back or ring the claims hot line on 09050005321.",,,
ham,"Arngd marriage is while u r walkin unfortuntly a snake bites u. bt love marriage is dancing in frnt of d snake &amp; sayin Bite me, bite me.",,,
ham,Huh so early.. Then ü having dinner outside izzit?,,,
ham,Ok anyway no need to change with what you said,,,
spam,We tried to contact you re your reply to our offer of 750 mins 150 textand a new video phone call 08002988890 now or reply for free delivery tomorrow,,,
ham,my ex-wife was not able to have kids. Do you want kids one day?,,,
ham,So how's scotland. Hope you are not over showing your JJC tendencies. Take care. Live the dream,,,
ham,Tell them u have a headache and just want to use 1 hour of sick time.,,,
ham,"I dun thk i'll quit yet... Hmmm, can go jazz ? Yogasana oso can... We can go meet em after our lessons den...",,,
ham,Pete can you please ring meive hardly gotany credit,,,
ham,Ya srsly better than yi tho,,,
ham,"I'm in a meeting, call me later at",,,
spam,"For ur chance to win a £250 wkly shopping spree TXT: SHOP to 80878. T's&C's www.txt-2-shop.com custcare 08715705022, 1x150p/wk",,,
spam,You have been specially selected to receive a 2000 pound award! Call 08712402050 BEFORE the lines close. Cost 10ppm. 16+. T&Cs apply. AG Promo,,,
spam,PRIVATE! Your 2003 Account Statement for 07753741225 shows 800 un-redeemed S. I. M. points. Call 08715203677 Identifier Code: 42478 Expires 24/10/04,,,
ham,You still at grand prix?,,,
ham,"I met you as a stranger and choose you as my friend. As long as the world stands, our friendship never ends. Lets be Friends forever!!! Gud nitz...",,,
ham,I am great! How are you?,,,
ham,Gud mrng dear have a nice day,,,
spam,You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!,,,
ham,Will do. Was exhausted on train this morning. Too much wine and pie. You sleep well too,,,
ham,I'm going out to buy mum's present ar.,,,
ham,Mind blastin.. No more Tsunamis will occur from now on.. Rajnikant stopped swimming in Indian Ocean..:-D,,,
ham,If u sending her home first it's ok lor. I'm not ready yet.,,,
ham,Speaking of does he have any cash yet?,,,
ham,Be happy there. I will come after noon,,,
ham,Meet after lunch la...,,,
ham,TaKe CaRE n gET WeLL sOOn,,,
spam,XCLUSIVE@CLUBSAISAI 2MOROW 28/5 SOIREE SPECIALE ZOUK WITH NICHOLS FROM PARIS.FREE ROSES 2 ALL LADIES !!! info: 07946746291/07880867867,,,
ham,what I meant to say is cant wait to see u again getting bored of this bridgwater banter,,,
ham,Neva mind it's ok..,,,
ham,"It's fine, imma get a drink or somethin. Want me to come find you?",,,
spam,22 days to kick off! For Euro2004 U will be kept up to date with the latest news and results daily. To be removed send GET TXT STOP to 83222,,,
ham,Its a valentine game. . . Send dis msg to all ur friends. .. If 5 answers r d same then someone really loves u. Ques- which colour suits me the best?rply me,,,
ham,I have many dependents,,,
ham,THANX4 TODAY CER IT WAS NICE 2 CATCH UP BUT WE AVE 2 FIND MORE TIME MORE OFTEN OH WELL TAKE CARE C U SOON.C,,,
ham,I called and said all to him:)then he have to choose this future.,,,
ham,Happy valentines day I know its early but i have hundreds of handsomes and beauties to wish. So i thought to finish off aunties and uncles 1st...,,,
ham,He like not v shock leh. Cos telling shuhui is like telling leona also. Like dat almost all know liao. He got ask me abt ur reaction lor.,,,
ham,For my family happiness..,,,
ham,I come n pick ü up... Come out immediately aft ur lesson...,,,
ham,Let there be snow. Let there be snow. This kind of weather brings ppl together so friendships can grow.,,,
ham,Dear we got  &lt;#&gt;  dollars hi hi,,,
ham,Good words.... But words may leave u in dismay many times.,,,
ham,MAKE SURE ALEX KNOWS HIS BIRTHDAY IS OVER IN FIFTEEN MINUTES AS FAR AS YOU'RE CONCERNED,,,
ham,"sorry, no, have got few things to do. may be in pub later.",,,
ham,"Nah it's straight, if you can just bring bud or drinks or something that's actually a little more useful than straight cash",,,
ham,"Haha good to hear, I'm officially paid and on the market for an 8th",,,
ham,How many licks does it take to get to the center of a tootsie pop?,,,
ham,Yup i thk they r e teacher said that will make my face look longer. Darren ask me not 2 cut too short.,,,
spam,New TEXTBUDDY Chat 2 horny guys in ur area 4 just 25p Free 2 receive Search postcode or at gaytextbuddy.com. TXT ONE name to 89693,,,
spam,Todays Vodafone numbers ending with 4882 are selected to a receive a £350 award. If your number matches call 09064019014 to receive your £350 award.,,,
ham,Please dont say like that. Hi hi hi,,,
ham,Thank u!,,,
ham,Oh that was a forwarded message. I thought you send that to me,,,
ham,Got it. Seventeen pounds for seven hundred ml – hope ok.,,,
spam,"Dear Voucher Holder, 2 claim this weeks offer, at your PC go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply.2 stop texts txt STOP to 80062.",,,
ham,Me n him so funny...,,,
ham,"Sweetheart, hope you are not having that kind of day! Have one with loads of reasons to smile. Biola",,,
ham,When ü login dat time... Dad fetching ü home now?,,,
ham,"What will we do in the shower, baby?",,,
ham,I had askd u a question some hours before. Its answer,,,
ham,"Well imma definitely need to restock before thanksgiving, I'll let you know when I'm out",,,
ham,"said kiss, kiss, i can't do the sound effects! He is a gorgeous man isn't he! Kind of person who needs a smile to brighten his day!",,,
ham,Probably gonna swing by in a wee bit,,,
ham,Ya very nice. . .be ready on thursday,,,
ham,Allo! We have braved the buses and taken on the trains and triumphed. I mean we‘re in b‘ham. Have a jolly good rest of week,,,
ham,"Watching cartoon, listening music &amp; at eve had to go temple &amp; church.. What about u?",,,
ham,Do you mind if I ask what happened? You dont have to say if it is uncomfortable.,,,
spam,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08715203694 Identifier Code: 40533 Expires 31/10/04,,,
ham,No prob. I will send to your email.,,,
spam,"You have won ?1,000 cash or a ?2,000 prize! To claim, call09050000327. T&C: RSTM, SW7 3SS. 150ppm",,,
ham,Thats cool! Sometimes slow and gentle. Sonetimes rough and hard :),,,
ham,I'm gonna say no. Sorry. I would but as normal am starting to panic about time. Sorry again! Are you seeing on Tuesday?,,,
ham,"Wait, do you know if wesleys in town? I bet she does hella drugs!",,,
ham,Fine i miss you very much.,,,
ham,Did u got that persons story,,,
ham,Tell them the drug dealer's getting impatient,,,
ham,"Sun cant come to earth but send luv as rays. cloud cant come to river but send luv as rain. I cant come to meet U, but can send my care as msg to U. Gud evng",,,
ham,You will be in the place of that man,,,
ham,"It doesnt make sense to take it there unless its free. If you need to know more, wikipedia.com",,,
spam,88800 and 89034 are premium phone services call 08718711108,,,
ham,"Under the sea, there lays a rock. In the rock, there is an envelope. In the envelope, there is a paper. On the paper, there are 3 words... '",,,
ham,Then mum's repent how?,,,
ham,Sorry me going home first... Daddy come fetch ü later...,,,
ham,Leave it de:-). Start Prepare for next:-)..,,,
ham,Yes baby! We can study all the positions of the kama sutra ;),,,
ham,En chikku nange bakra msg kalstiya..then had tea/coffee?,,,
ham,Carlos'll be here in a minute if you still need to buy,,,
ham,This pay is  &lt;DECIMAL&gt;  lakhs:),,,
ham,Have a good evening! Ttyl,,,
ham,Did u receive my msg?,,,
ham,Ho ho - big belly laugh! See ya tomo,,,
spam,"SMS. ac sun0819 posts HELLO:""You seem cool, wanted to say hi. HI!!!"" Stop? Send STOP to 62468",,,
spam,Get ur 1st RINGTONE FREE NOW! Reply to this msg with TONE. Gr8 TOP 20 tones to your phone every week just £1.50 per wk 2 opt out send STOP 08452810071 16,,,
ham,"Ditto. And you won't have to worry about me saying ANYTHING to you anymore. Like i said last night, you do whatever you want and i'll do the same. Peace.",,,
ham,"I've got  &lt;#&gt; , any way I could pick up?",,,
ham,"I dont knw pa, i just drink milk..",,,
ham,Maybe?! Say hi to  and find out if  got his card. Great escape or wetherspoons?,,,
ham,"Piggy, r u awake? I bet u're still sleeping. I'm going 4 lunch now...",,,
ham,Cause I'm not freaky lol,,,
ham,Missed your call cause I was yelling at scrappy. Miss u. Can't wait for u to come home. I'm so lonely today.,,,
ham,What is this 'hex' place you talk of? Explain!,,,
ham,Ü log off 4 wat. It's sdryb8i,,,
ham,Is xy going 4 e lunch?,,,
spam,Hi I'm sue. I am 20 years old and work as a lapdancer. I love sex. Text me live - I'm i my bedroom now. text SUE to 89555. By TextOperator G2 1DA 150ppmsg 18+,,,
ham,I wanted to ask ü to wait 4 me to finish lect. Cos my lect finishes in an hour anyway.,,,
ham,Have you finished work yet? :),,,
ham,"Every King Was Once A Crying Baby And Every Great Building Was Once A Map.. Not Imprtant Where U r TODAY, BUT Where U Wil Reach TOMORW. Gud ni8",,,
ham,"Dear,Me at cherthala.in case u r coming cochin pls call bfore u start.i shall also reach accordingly.or tell me which day u r coming.tmorow i am engaged ans its holiday.",,,
ham,Thanks love. But am i doing torch or bold.,,,
spam,<Forwarded from 448712404000>Please CALL 08712404000 immediately as there is an urgent message waiting for you.,,,
ham,Was the farm open?,,,
ham,"Sorry to trouble u again. Can buy 4d for my dad again? 1405, 1680, 1843. All 2 big 1 small, sat n sun. Thanx.",,,
ham,"My sister in law, hope you are having a great month. Just saying hey. Abiola",,,
ham,Will purchase d stuff today and mail to you. Do you have a po box number?,,,
ham,Ah poop. Looks like ill prob have to send in my laptop to get fixed cuz it has a gpu problem,,,
ham,Good. Good job. I like entrepreneurs,,,
ham,"Aight, you close by or still down around alex's place?",,,
ham,meet you in corporation st outside gap … you can see how my mind is working!,,,
ham,Mum ask ü to buy food home...,,,
ham,K..u also dont msg or reply to his msg..,,,
ham,How much r ü willing to pay?,,,
ham,"Sorry, I'll call later",,,
ham,What is important is that you prevent dehydration by giving her enough fluids,,,
ham,"Thats a bit weird, even ?- where is the do supposed to be happening? But good idea, sure they will be in pub!",,,
ham,True dear..i sat to pray evening and felt so.so i sms'd you in some time...,,,
ham,"I don't think I can get away for a trek that long with family in town, sorry",,,
ham,So when do you wanna gym harri,,,
ham,Quite late lar... Ard 12 anyway i wun b drivin...,,,
spam,"To review and KEEP the fantastic Nokia N-Gage game deck with Club Nokia, go 2 www.cnupdates.com/newsletter. unsubscribe from alerts reply with the word OUT",,,
spam,4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths+? Call MobilesDirect free on 08000938767 to update now! or2stoptxt T&Cs,,,
ham,"Height of Confidence: All the Aeronautics professors wer calld &amp; they wer askd 2 sit in an aeroplane. Aftr they sat they wer told dat the plane ws made by their students. Dey all hurried out of d plane.. Bt only 1 didnt move... He said:""if it is made by my students,this wont even start........ Datz confidence..",,,
ham,It just seems like weird timing that the night that all you and g want is for me to come smoke is the same day as when a shitstorm is attributed to me always coming over and making everyone smoke,,,
spam,08714712388 between 10am-7pm Cost 10p,,,
ham,"Save yourself the stress. If the person has a dorm account, just send your account details and the money will be sent to you.",,,
ham,He also knows about lunch menu only da. . I know,,,
ham,When i have stuff to sell i.ll tell you,,,
spam,#ERROR!,,,
ham,Book which lesson? then you msg me... I will call up after work or sth... I'm going to get specs. My membership is PX3748,,,
spam,You have WON a guaranteed £1000 cash or a £2000 prize. To claim yr prize call our customer service representative on 08714712394 between 10am-7pm,,,
ham,Macha dont feel upset.i can assume your mindset.believe me one evening with me and i have some wonderful plans for both of us.LET LIFE BEGIN AGAIN.call me anytime,,,
ham,Oh is it? Send me the address,,,
ham,S'fine. Anytime. All the best with it.,,,
ham,That is wondar full flim.,,,
ham,Ya even those cookies have jelly on them,,,
ham,"The world is running and i am still.maybe all are feeling the same,so be it.or i have to admit,i am mad.then where is the correction?or let me call this is life.and keep running with the world,may be u r also running.lets run.",,,
ham,Got it! It looks scrumptious... daddy wants to eat you all night long!,,,
ham,Of cos can lar i'm not so ba dao ok... 1 pm lor... Y u never ask where we go ah... I said u would ask on fri but he said u will ask today...,,,
ham,"Alright omw, gotta change my order to a half8th",,,
ham,Exactly. Anyways how far. Is jide her to study or just visiting,,,
ham,Dunno y u ask me.,,,
spam,Email AlertFrom: Jeri StewartSize: 2KBSubject: Low-cost prescripiton drvgsTo listen to email call 123,,,
ham,No he didn't. Spring is coming early yay!,,,
ham,Lol you won't feel bad when I use her money to take you out to a steak dinner =D,,,
ham,Even u dont get in trouble while convincing..just tel him once or twice and just tel neglect his msgs dont c and read it..just dont reply,,,
ham,Leaving to qatar tonite in search of an opportunity.all went fast.pls add me in ur prayers dear.Rakhesh,,,
ham,Then why no one talking to me,,,
ham,Thanks for looking out for me. I really appreciate.,,,
spam,Hi. Customer Loyalty Offer:The NEW Nokia6650 Mobile from ONLY £10 at TXTAUCTION! Txt word: START to No: 81151 & get yours Now! 4T&Ctxt TC 150p/MTmsg,,,
ham,Wish i were with you now!,,,
ham,Haha mayb u're rite... U know me well. Da feeling of being liked by someone is gd lor. U faster go find one then all gals in our group attached liao.,,,
ham,Yes i will be there. Glad you made it.,,,
ham,Do well :)all will for little time. Thing of good times ahead:,,,
ham,Just got up. have to be out of the room very soon. …. i hadn't put the clocks back til at 8 i shouted at everyone to get up and then realised it was 7. wahay. another hour in bed.,,,
ham,Ok. There may be a free gym about.,,,
ham,Men like shorter ladies. Gaze up into his eyes.,,,
ham,Dunno he jus say go lido. Same time 930.,,,
ham,"I promise to take good care of you, princess. I have to run now. Please send pics when you get a chance. Ttyl!",,,
spam,U are subscribed to the best Mobile Content Service in the UK for £3 per 10 days until you send STOP to 82324. Helpline 08706091795,,,
ham,Is there a reason we've not spoken this year? Anyways have a great week and all the best in your exam,,,
ham,By monday next week. Give me the full gist,,,
spam,"Do you realize that in about 40 years, we'll have thousands of old ladies running around with tattoos?",,,
spam,You have an important customer service announcement from PREMIER.,,,
ham,Dont gimme that lip caveboy,,,
ham,When did you get to the library,,,
ham,Realy sorry-i don't recognise this number and am now confused :) who r u please?!,,,
ham,So why didnt you holla?,,,
ham,Cant think of anyone with * spare room off * top of my head,,,
ham,"Faith makes things possible,Hope makes things work,Love makes things beautiful,May you have all three this Christmas!Merry Christmas!",,,
ham,U should have made an appointment,,,
ham,"Call me when you/carlos is/are here, my phone's vibrate is acting up and I might not hear texts",,,
spam,"Romantic Paris. 2 nights, 2 flights from £79 Book now 4 next year. Call 08704439680Ts&Cs apply.",,,
ham,"We are at grandmas. Oh dear, u still ill? I felt Shit this morning but i think i am just hungover! Another night then. We leave on sat.",,,
spam,Urgent Ur £500 guaranteed award is still unclaimed! Call 09066368327 NOW closingdate04/09/02 claimcode M39M51 £1.50pmmorefrommobile2Bremoved-MobyPOBox734LS27YF,,,
ham,Nothing but we jus tot u would ask cos u ba gua... But we went mt faber yest... Yest jus went out already mah so today not going out... Jus call lor...,,,
ham,"Wishing you and your family Merry ""X"" mas and HAPPY NEW Year in advance..",,,
spam,UR awarded a City Break and could WIN a £200 Summer Shopping spree every WK. Txt STORE to 88039 . SkilGme. TsCs087147403231Winawk!Age16 £1.50perWKsub,,,
ham,"I'm nt goin, got somethin on, unless they meetin 4 dinner lor... Haha, i wonder who will go tis time...",,,
ham,"Sorry, I'll call later",,,
ham,I cant pick the phone right now. Pls send a message,,,
ham,Lol I know! They're so dramatic. Schools already closed for tomorrow. Apparently we can't drive in the inch of snow were supposed to get.,,,
ham,Not getting anywhere with this damn job hunting over here!,,,
ham,Lol! U drunkard! Just doing my hair at d moment. Yeah still up 4 tonight. Wats the plan?,,,
ham,"idc get over here, you are not weaseling your way out of this shit twice in a row",,,
ham,I wil be there with in  &lt;#&gt;  minutes. Got any space,,,
ham,Just sleeping..and surfing,,,
ham,Thanks for picking up the trash.,,,
ham,Why don't you go tell your friend you're not sure you want to live with him because he smokes too much then spend hours begging him to come smoke,,,
ham,Hi its Kate it was lovely to see you tonight and ill phone you tomorrow. I got to sing and a guy gave me his card! xxx,,,
ham,Happy New year my dear brother. I really do miss you. Just got your number and decided to send you this text wishing you only happiness. Abiola,,,
ham,That means get the door,,,
ham,Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..,,,
ham,"Hmmm ... I thought we said 2 hours slave, not 3 ... You are late ... How should I punish you ?",,,
ham,Beerage?,,,
spam,You have an important customer service announcement from PREMIER. Call FREEPHONE 0800 542 0578 now!,,,
ham,Dont think so. It turns off like randomlly within 5min of opening,,,
ham,"She was supposed to be but couldn't make it, she's still in town though",,,
ham,It does it on its own. Most of the time it fixes my spelling. But sometimes it gets a completely diff word. Go figure,,,
spam,Ever thought about living a good life with a perfect partner? Just txt back NAME and AGE to join the mobile community. (100p/SMS),,,
spam,"5 Free Top Polyphonic Tones call 087018728737, National Rate. Get a toppoly tune sent every week, just text SUBPOLY to 81618, £3 per pole. UnSub 08718727870.",,,
ham,Gud mrng dear hav a nice day,,,
ham,This is hoping you enjoyed your game yesterday. Sorry i've not been in touch but pls know that you are fondly bein thot off. Have a great week. Abiola,,,
ham,All e best 4 ur driving tmr :-),,,
ham,Y?WHERE U AT DOGBREATH? ITS JUST SOUNDING LIKE JAN C THATS AL!!!!!!!!!,,,
ham,Omg I want to scream. I weighed myself and I lost more weight! Woohoo!,,,
ham,There generally isn't one. It's an uncountable noun - u in the dictionary. pieces of research?,,,
ham,it's really getting me down just hanging around.,,,
spam,"Orange customer, you may now claim your FREE CAMERA PHONE upgrade for your loyalty. Call now on 0207 153 9996. Offer ends 14thMarch. T&C's apply. Opt-out availa",,,
ham,Petey boy whereare you me and all your friendsare in theKingshead come down if you canlove Nic,,,
ham,Ok i msg u b4 i leave my house.,,,
ham,Gimme a few was  &lt;#&gt;  minutes ago,,,
spam,"Last Chance! Claim ur £150 worth of discount vouchers today! Text SHOP to 85023 now! SavaMob, offers mobile! T Cs SavaMob POBOX84, M263UZ. £3.00 Sub. 16",,,
ham,Appt is at &lt;TIME&gt; am. Not my fault u don't listen. I told u twice,,,
spam,FREE for 1st week! No1 Nokia tone 4 ur mobile every week just txt NOKIA to 8077 Get txting and tell ur mates. www.getzed.co.uk POBox 36504 W45WQ 16+ norm150p/tone,,,
spam,You have won a guaranteed £200 award or even £1000 cashto claim UR award call free on 08000407165 (18+) 2 stop getstop on 88222 PHP. RG21 4JX,,,
ham,K I'll be there before 4.,,,
ham,I dled 3d its very imp,,,
ham,"sure, but make sure he knows we ain't smokin yet",,,
ham,Boooo you always work. Just quit.,,,
ham,I am taking half day leave bec i am not well,,,
ham,Ugh I don't wanna get out of bed. It's so warm.,,,
ham,S:)s.nervous  &lt;#&gt; :),,,
ham,So there's a ring that comes with the guys costumes. It's there so they can gift their future yowifes. Hint hint,,,
spam,Congratulations ur awarded either £500 of CD gift vouchers & Free entry 2 our £100 weekly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16,,,
ham,I borrow ur bag ok.,,,
spam,"U were outbid by simonwatson5120 on the Shinco DVD Plyr. 2 bid again, visit sms. ac/smsrewards 2 end bid notifications, reply END OUT",,,
ham,Where's my boytoy? I miss you ... What happened?,,,
ham,"He has lots of used ones babe, but the model doesn't help. Youi have to bring it over and he'll match it up",,,
ham,Also are you bringing galileo or dobby,,,
ham,Then why you not responding,,,
ham,BOO BABE! U ENJOYIN YOURJOB? U SEEMED 2 B GETTIN ON WELL HUNNY!HOPE URE OK?TAKE CARE & ILLSPEAK 2U SOONLOTS OF LOVEME XXXX.,,,
ham,Good afternoon starshine! How's my boytoy? Does he crave me yet? Ache to fuck me ? *sips cappuccino* I miss you babe *teasing kiss*,,,
ham,On the road so cant txt,,,
spam,"SMSSERVICES. for yourinclusive text credits, pls goto www.comuk.net login= 3qxj9 unsubscribe with STOP, no extra charge. help 08702840625.COMUK. 220-CM2 9AE",,,
spam,25p 4 alfie Moon's Children in need song on ur mob. Tell ur m8s. Txt Tone charity to 8007 for Nokias or Poly charity for polys: zed 08701417012 profit 2 charity.,,,
ham,Have a good evening! Ttyl,,,
ham,Hmm .. Bits and pieces lol ... *sighs* ...,,,
ham,Hahaha..use your brain dear,,,
ham,Hey. You got any mail?,,,
ham,"Sorry light turned green, I meant another friend wanted  &lt;#&gt;  worth but he may not be around",,,
ham,Thanks for yesterday sir. You have been wonderful. Hope you enjoyed the burial. MojiBiola,,,
spam,U have a secret admirer. REVEAL who thinks U R So special. Call 09065174042. To opt out Reply REVEAL STOP. 1.50 per msg recd. Cust care 07821230901,,,
ham,Hi mate its RV did u hav a nice hol just a message 3 say hello coz havent sent u 1 in ages started driving so stay off roads!RVx,,,
spam,"Dear Voucher Holder, To claim this weeks offer, at you PC please go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply. To stop texts, txt STOP to 80062",,,
ham,"Thank you so much. When we skyped wit kz and sura, we didnt get the pleasure of your company. Hope you are good. We've given you ultimatum oh! We are countin down to aburo. Enjoy! This is the message i sent days ago",,,
ham,Surely result will offer:),,,
ham,Good Morning my Dear........... Have a great &amp; successful day.,,,
spam,Do you want 750 anytime any network mins 150 text and a NEW VIDEO phone for only five pounds per week call 08002888812 or reply for delivery tomorrow,,,
ham,"Sir, I have been late in paying rent for the past few months and had to pay a $ &lt;#&gt;  charge. I felt it would be inconsiderate of me to nag about something you give at great cost to yourself and that's why i didnt speak up. I however am in a recession and wont be able to pay the charge this month hence my askin well ahead of month's end. Can you please help. Thanks",,,
spam,We tried to contact you re our offer of New Video Phone 750 anytime any network mins HALF PRICE Rental camcorder call 08000930705 or reply for delivery Wed,,,
spam,Last chance 2 claim ur £150 worth of discount vouchers-Text YES to 85023 now!SavaMob-member offers mobile T Cs 08717898035. £3.00 Sub. 16 . Remove txt X or STOP,,,
ham,I luv u soo much u dont understand how special u r 2 me ring u 2morrow luv u xxx,,,
ham,"Pls send me a comprehensive mail about who i'm paying, when and how much.",,,
ham,Our Prashanthettan's mother passed away last night. pray for her and family.,,,
spam,"Urgent! call 09066350750 from your landline. Your complimentary 4* Ibiza Holiday or 10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150 ppm 18+",,,
ham,K.k:)when are you going?,,,
ham,Meanwhile in the shit suite: xavier decided to give us  &lt;#&gt;  seconds of warning that samantha was coming over and is playing jay's guitar to impress her or some shit. Also I don't think doug realizes I don't live here anymore,,,
ham,My stomach has been thru so much trauma I swear I just can't eat. I better lose weight.,,,
ham,I am in office:)whats the matter..msg me now.i will call you at break:).,,,
ham,"Yeah there's barely enough room for the two of us, x has too many fucking shoes. Sorry man, see you later",,,
spam,"Today's Offer! Claim ur £150 worth of discount vouchers! Text YES to 85023 now! SavaMob, member offers mobile! T Cs 08717898035. £3.00 Sub. 16 . Unsub reply X",,,
ham,U reach orchard already? U wan 2 go buy tickets first?,,,
ham,"I am real, baby! I want to bring out your inner tigress...",,,
ham,No da if you run that it activate the full version da.,,,
ham,AH POOR BABY!HOPE URFEELING BETTERSN LUV! PROBTHAT OVERDOSE OF WORK HEY GO CAREFUL SPK 2 U SN LOTS OF LOVEJEN XXX.,,,
ham,Stop the story. I've told him i've returned it and he's saying i should not re order it.,,,
spam,Talk sexy!! Make new friends or fall in love in the worlds most discreet text dating service. Just text VIP to 83110 and see who you could meet.,,,
ham,Going to take your babe out ?,,,
ham,Hai ana tomarrow am coming on morning.  &lt;DECIMAL&gt;  ill be there in sathy then we ll go to RTO office. Reply me after came to home.,,,
ham,Spoons it is then okay?,,,
ham,Did he just say somebody is named tampa,,,
ham,In work now. Going have in few min.,,,
ham,Your brother is a genius,,,
ham,"Sorry, I guess whenever I can get a hold of my connections, maybe an hour or two? I'll text you",,,
ham,Did u find out what time the bus is at coz i need to sort some stuff out.,,,
ham,Dude ive been seeing a lotta corvettes lately,,,
spam,Congratulations ur awarded either a yrs supply of CDs from Virgin Records or a Mystery Gift GUARANTEED Call 09061104283 Ts&Cs www.smsco.net £1.50pm approx 3mins,,,
ham,"Same here, but I consider walls and bunkers and shit important just because I never play on peaceful but I guess your place is high enough that it don't matter",,,
spam,PRIVATE! Your 2003 Account Statement for 07808 XXXXXX shows 800 un-redeemed S. I. M. points. Call 08719899217 Identifier Code: 41685 Expires 07/11/04,,,
spam,Hello. We need some posh birds and chaps to user trial prods for champneys. Can i put you down? I need your address and dob asap. Ta r,,,
spam,What do U want for Xmas? How about 100 free text messages & a new video phone with half price line rental? Call free now on 0800 0721072 to find out more!,,,
ham,"Well am officially in a philosophical hole, so if u wanna call am at home ready to be saved!",,,
ham,Its going good...no problem..but still need little experience to understand american customer voice...,,,
ham,I'll text you when I drop x off,,,
ham,Ugh its been a long day. I'm exhausted. Just want to cuddle up and take a nap,,,
ham,Talk With Yourself Atleast Once In A Day...!!! Otherwise You Will Miss Your Best FRIEND In This WORLD...!!! -Shakespeare- SHESIL  &lt;#&gt;,,,
spam,"Shop till u Drop, IS IT YOU, either 10K, 5K, £500 Cash or £100 Travel voucher, Call now, 09064011000. NTT PO Box CR01327BT fixedline Cost 150ppm mobile vary",,,
ham,Are you in castor? You need to see something,,,
spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country Liverpool played in mid week? Txt ansr to 82277. £1.50 SP:Tyrone,,,
spam,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094565,,,
spam,U have a Secret Admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09065171142-stopsms-08,,,
spam,Reminder: You have not downloaded the content you have already paid for. Goto http://doit. mymoby. tv/ to collect your content.,,,
ham,"see, i knew giving you a break a few times woul lead to you always wanting to miss curfew. I was gonna gibe you 'til one, but a MIDNIGHT movie is not gonna get out til after 2. You need to come home. You need to getsleep and, if anything, you need to b studdying ear training.",,,
ham,I love to give massages. I use lots of baby oil... What is your fave position?,,,
ham,Dude we should go sup again,,,
ham,Yoyyooo u know how to change permissions for a drive in mac. My usb flash drive,,,
ham,Gibbs unsold.mike hussey,,,
ham,I like to talk pa but am not able to. I dont know y.,,,
ham,Y dun cut too short leh. U dun like ah? She failed. She's quite sad.,,,
ham,You unbelievable faglord,,,
ham,Wife.how she knew the time of murder exactly,,,
ham,Why do you ask princess?,,,
ham,I am great princess! What are you thinking about me? :),,,
ham,Nutter. Cutter. Ctter. Cttergg. Cttargg. Ctargg. Ctagg. ie you,,,
ham,It's ok i noe u're busy but i'm really too bored so i msg u. I oso dunno wat colour she choose 4 me one.,,,
ham,Doesn't g have class early tomorrow and thus shouldn't be trying to smoke at  &lt;#&gt;,,,
ham,"Superb Thought- ""Be grateful that u dont have everything u want. That means u still have an opportunity to be happier tomorrow than u are today."":-)",,,
ham,Hope you are having a good week. Just checking in,,,
